"rank","address","partiscore_absolute","partiscore_percentile","number_of_daos","number_of_proposals","number_of_votes"
82.0,"0x7dd508a1e4da1243789b799a480f8b45e58b1b5b",47.60853066345743,99.99823893863223,29.0,0.0,504.0
83.0,"0x972a8b7d891b88220780421fe4d11f174354ceed",47.4144618180914,99.99821719713387,28.0,0.0,433.0
84.0,"0x0516cf37b67235e07af38ad8e388d0e68089b0f2",47.18854213884517,99.9981954556355,30.0,0.0,428.0
85.0,"0x00432772ed25d4eb3c6eb26dc461239b35cf8760",46.95791042852949,99.99817371413712,29.0,0.0,431.0
86.0,"0xd1570080bcb784b4f5e378dfd4cdffdfd6c110f6",46.21485301590392,99.99815197263877,31.0,4.0,542.0
87.0,"0x35e6fc00e3f190a8dfe15faa219368a01028ec14",46.07160770499055,99.9981302311404,28.0,0.0,421.0
88.0,"0x078ad5270b0240d8529f600f35a271fc6e2b2bd8",46.00600735561,99.99810848964202,34.0,8.0,363.0
89.0,"0x37b1884205cc47c2bf5cf5a0248946c4c0c85724",45.840211075756756,99.99808674814365,16.0,0.0,396.0
90.0,"0xbaa32387bd55553ec806622d524b12bbb8242a19",45.562421802253006,99.99806500664529,32.0,0.0,395.0
91.0,"0xce68b1394ed29ecaa6974536244d1d2aad4a2745",44.82047292520312,99.99804326514692,17.0,1.0,333.0
92.0,"0x71213a9c9504e406d3242436a4bf69c6bfe74461",44.51769830964525,99.99802152364855,31.0,9.0,343.0
93.0,"0x8f2a0c6bdd5c1f61552558d2c0d2afe6d3dc5272",44.45430808542468,99.99799978215019,29.0,8.0,347.0
94.0,"DrZ5Vsekb5pXWQRwmD8R7kfCHgtPMPYaBae4rCSGL1CM",44.25597432682234,99.99797804065182,1.0,16.0,307.0
95.0,"0x3f5d2058971dfd0103e3bf5e423620b5a42db357",44.08528149026638,99.99795629915346,25.0,1.0,342.0
96.0,"0x21b98f5698fd33d9cb58f6ab8d5ec58e803fcba2",43.56385050855446,99.99793455765509,22.0,0.0,474.0
97.0,"0x521b0fef9cdcf250abaf8e7bc798cbe13fa98692",43.50259398033358,99.99791281615671,6.0,0.0,468.0
98.0,"0xc290cfb8d020c0615e9c63036f4319cc41717e68",43.491150641517805,99.99789107465836,7.0,31.0,331.0
99.0,"0x6ceea0fc41387fc6780aa78125ffde3ece0dc103",42.873990848801384,99.99786933315998,21.0,54.0,225.0
100.0,"0x48f88a8d8e4a9dff33c0a4d857a81a189c2d6e07",42.869329127415476,99.99784759166161,37.0,1.0,454.0
101.0,"0x5244736b3a8f898149ae33f013126a20ce7abc62",42.776653846971236,99.99782585016325,28.0,3.0,335.0
102.0,"H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y",42.736852768904015,99.99780410866488,2.0,88.0,377.0
103.0,"0x29ee39be789ada5cbb2051f4bdd70dd735aed7d0",42.13201391346321,99.99778236716651,28.0,8.0,321.0
104.0,"0xa521e425f37acc731651565b41ce3e5022274f4f",41.836048423319674,99.99776062566814,13.0,61.0,304.0
105.0,"0x9796b9443a3ffbc60eab64f33e368cc19eba4f33",41.70499989815802,99.99773888416978,27.0,0.0,445.0
106.0,"0xe5818d70a9b5aed2bfde4e41fbcb07dd80f8fc84",41.390659407765895,99.9977171426714,7.0,2.0,581.0
107.0,"0x1b9da462d07512fa37021973d853b59debb761dd",40.95031520758789,99.99769540117303,33.0,0.0,331.0
108.0,"5wZ6N7cDCocEskFdWRo2sU9UmopiekS2naQ8S7gproE8",40.68021661751309,99.99767365967467,1.0,73.0,96.0
109.0,"0x7d3bf2cb39f5ceeeca91ecc8201dc01616ad089f",40.58537969217261,99.99765191817632,58.0,0.0,478.0
110.0,"0x2ea5e9e452f85f55be47504153f25740a5f3d78a",40.42808432478075,99.99763017667794,31.0,0.0,339.0
111.0,"0xbe170afc104dd409b71bf3bf203258fbbc1242d6",39.97490593342842,99.99760843517957,12.0,0.0,345.0
112.0,"0xbce6ac172da935a8eb54bd102dd017e3dd2b0c9d",39.63473981612772,99.9975866936812,1.0,233.0,1.0
